itemid,datasource,genre,subgenre,orig_lang,speaker_id,reflabel,observations,maxagree,majority_softlabel,majoritylabel_sampled,majority_distrlabel20,majority_distrlabel40,domconn_step1,domconn_step2
wsj_0526_51,526,pdtb,NA,English,NA,result,10,0.6,synchronous:0; precedence:0; succession:0; reason:0; result:0.2; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.6; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.1; norel:0,arg1-as-detail,arg1-as-detail;result,arg1-as-detail,consequently,in short
wsj_0527_9,527,pdtb,NA,English,NA,conjunction,10,0.5,synchronous:0; precedence:0; succession:0; reason:0.1; result:0.3; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.5; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,conjunction;result,conjunction,also,in addition
wsj_0550_38,550,pdtb,NA,English,NA,disjunction,10,0.4,synchronous:0; precedence:0; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.1; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.4; norel:0,conjunction,arg2-as-detail;conjunction;differentcon,differentcon,incidentally,differentcon
wsj_0553_73,553,pdtb,NA,English,NA,disjunction,10,0.6,synchronous:0; precedence:0; succession:0; reason:0.1; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0.1; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0.1; conjunction:0.6; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,conjunction,conjunction,furthermore,in addition
wsj_0585_52,585,pdtb,NA,English,NA,synchronous;similarity,10,0.6,synchronous:0; precedence:0.1; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.6; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,arg2-as-detail;conjunction,conjunction,in addition,also
wsj_0604_50,604,pdtb,NA,English,NA,synchronous,10,0.2,synchronous:0; precedence:0.2; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0.1; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0.1; differentcon:0.1; norel:0,precedence,arg2-as-detail;conjunction;precedence,precedence,in addition,also
wsj_0614_0,614,pdtb,NA,English,NA,succession,10,0.2,synchronous:0; precedence:0; succession:0.1; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.2; arg2-as-denier:0; contrast:0.1; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.2; norel:0,conjunction,arg1-as-denier;arg2-as-detail;conjunction;differentcon,conjunction,to clarify,in addition
wsj_0655_5,655,pdtb,NA,English,NA,precedence,10,0.7,synchronous:0; precedence:0.7; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.1; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,precedence,precedence,precedence,afterwards,subsequently
wsj_0671_57,671,pdtb,NA,English,NA,arg2-as-detail,11,0.545,synchronous:0; precedence:0.091; succession:0; reason:0.091; result:0.091; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.091; arg1-as-detail:0; arg2-as-detail:0.545; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail,arg2-as-detail,in more detail,specifically
wsj_0681_10,681,pdtb,NA,English,NA,arg1-as-detail,11,0.273,synchronous:0; precedence:0; succession:0; reason:0.091; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.273; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0.091; arg2-as-instance:0; arg1-as-detail:0.273; arg2-as-detail:0.182; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.091; norel:0,arg1-as-detail,arg1-as-denier;arg1-as-detail,arg1-as-detail,in short,despite the fact that
wsj_0682_17,682,pdtb,NA,English,NA,reason,11,0.636,synchronous:0; precedence:0.091; succession:0; reason:0.636; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.182; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,reason,reason,reason,because,the reasons isare that
wsj_0687_20,687,pdtb,NA,English,NA,arg2-as-subst,11,0.364,synchronous:0.091; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.091; contrast:0; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.364; arg1-as-detail:0; arg2-as-detail:0.364; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-instance,arg2-as-detail;arg2-as-instance,arg2-as-instance,specifically,in more detail
wsj_0687_22,687,pdtb,NA,English,NA,contrast,11,0.364,synchronous:0; precedence:0; succession:0; reason:0.091; result:0.182; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.091; contrast:0; similarity:0.091; conjunction:0.364; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.091; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0.091,conjunction,conjunction,conjunction,in addition,in addition
wsj_0690_15,690,pdtb,NA,English,NA,similarity,11,0.455,synchronous:0; precedence:0; succession:0; reason:0; result:0.091; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0.364; conjunction:0.455; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.091; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,conjunction;similarity,conjunction,in addition,also
wsj_0794_32,794,pdtb,NA,English,NA,arg2-as-detail,11,0.364,synchronous:0; precedence:0.182; succession:0; reason:0; result:0.364; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.091; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.273; arg2-as-detail:0.091; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,result,arg1-as-detail;result,result,as a result,consequently
wsj_0799_41,799,pdtb,NA,English,NA,precedence,11,0.455,synchronous:0; precedence:0.091; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.091; contrast:0.091; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.091; arg1-as-detail:0; arg2-as-detail:0.455; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.091; norel:0,arg2-as-detail,arg2-as-detail,arg2-as-detail,however,specifically
wsj_0909_37,909,pdtb,NA,English,NA,arg1-as-detail,11,0.455,synchronous:0; precedence:0.091; succession:0; reason:0; result:0.455; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.273; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.091; norel:0,result,arg2-as-detail;result,result,as a result,as a result
wsj_0909_46,909,pdtb,NA,English,NA,synchronous,11,0.727,synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.091; similarity:0; conjunction:0.727; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.182; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,conjunction,conjunction,also,in addition
wsj_0909_81,909,pdtb,NA,English,NA,reason,11,0.364,synchronous:0; precedence:0; succession:0; reason:0.091; result:0.364; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.091; similarity:0; conjunction:0.364; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.091; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,conjunction;result,conjunction,as a result,in addition
wsj_0911_0,911,pdtb,NA,English,NA,similarity,11,0.273,synchronous:0; precedence:0; succession:0; reason:0.091; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.182; similarity:0; conjunction:0.273; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.273; arg1-as-detail:0; arg2-as-detail:0.091; equivalence:0.091; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-instance,arg2-as-instance;conjunction,arg2-as-instance,in fact,in addition
wsj_0937_80,937,pdtb,NA,English,NA,arg2-as-subst,11,0.273,synchronous:0; precedence:0; succession:0; reason:0; result:0.091; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.273; arg2-as-denier:0; contrast:0.091; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.182; arg1-as-detail:0; arg2-as-detail:0.182; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.091; norel:0,arg1-as-denier,arg1-as-denier,arg1-as-denier,for example,despite the fact that
wsj_0938_22,938,pdtb,NA,English,NA,arg2-as-goal,11,0.273,synchronous:0; precedence:0; succession:0; reason:0.182; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.273; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.182; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.091; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0.273; norel:0,arg2-as-goal,arg2-as-goal;differentcon,arg2-as-goal,in order to,differentcon
wsj_0944_45,944,pdtb,NA,English,NA,result,11,0.455,synchronous:0; precedence:0; succession:0; reason:0.091; result:0.455; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.091; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.364; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,result,arg2-as-detail;result,result,in more detail,as a result
wsj_0975_14,975,pdtb,NA,English,NA,succession,11,0.727,synchronous:0; precedence:0; succession:0.091; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.091; arg1-as-detail:0; arg2-as-detail:0.727; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail,arg2-as-detail,in more detail,to provide background information
wsj_0975_6,975,pdtb,NA,English,NA,precedence,11,0.727,synchronous:0; precedence:0.727; succession:0; reason:0; result:0.182; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,precedence,precedence,precedence,subsequently,afterwards
wsj_0994_29,994,pdtb,NA,English,NA,arg1-as-denier,11,0.545,synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.091; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.364; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.545; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail;conjunction,arg2-as-detail,in addition,to provide some background information
wsj_0994_40,994,pdtb,NA,English,NA,conjunction,11,0.636,synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0.182; conjunction:0.636; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.182; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,conjunction,conjunction,in addition,in addition
wsj_0996_20,996,pdtb,NA,English,NA,arg2-as-denier,11,0.455,synchronous:0; precedence:0; succession:0; reason:0; result:0.273; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.455; contrast:0.182; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.091; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-denier,arg2-as-denier;result,arg2-as-denier,however,despite this
