instance_id	question_start	level-2	level-3	question	answer	sent_q
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Major	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what was  Major already ensconced on his bed of straw, under a lantern which hung from a beam.	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that Major was already ensconced on his bed of straw, under a lantern which hung from a beam.	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Major was already ensconced on his bed of straw, under a lantern which hung from a beam	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Major being ensconced on his bed of straw, under a lantern which hung from a beam	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that Major was already ensconced on his bed of straw, under a lantern which hung from a beam	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Major	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_02	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Major being already ensconced on his bed of straw	He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.	sent1
Animal_Farm_EN_batch_01_item_03	After what	Temporal.Asynchronous	SUCCESSION	After what _ First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.	The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud.	sent1
Animal_Farm_EN_batch_01_item_03	Before what	Temporal.Asynchronous	SUCCESSION	Before what did the hens perch themselves on the window-sills?	First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.	sent2
Animal_Farm_EN_batch_01_item_03	Before what	Temporal.Asynchronous	SUCCESSION	Before what did The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud.	First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.	sent2
Animal_Farm_EN_batch_01_item_03	Before what	Temporal.Asynchronous	PRECEDENCE	Before what _ came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs	The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud.	sent1
Animal_Farm_EN_batch_01_item_03	After what	Temporal.Asynchronous	PRECEDENCE	After what did he hens perch themselves on the window-sills, the pigeons flutter up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud	First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.	sent2
Animal_Farm_EN_batch_01_item_03	After what	Temporal.Asynchronous	PRECEDENCE	After what did The hens perch themselves on the window-sills, the pigeons flutter up to the rafters, the sheep and cows lay down behind the pigs and begin to chew the cud	First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.	sent2
Animal_Farm_EN_batch_01_item_03	After what	Temporal.Asynchronous	PRECEDENCE	After what did The hens perch themselves on the window-sills, the pigeons flutter up to the rafters, the sheep and cows lay down behind the pigs and begin to chew the cud	First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.	sent2
Animal_Farm_EN_batch_01_item_03	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what does First came the three dogs and then the pigs, who settled down in the straw immediately in front of the platform.	The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud.	sent1
Animal_Farm_EN_batch_01_item_03	In what manner	Expansion.Manner	ARG2-AS-MANNER	In what manner _ First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs,	The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud.	sent1
Animal_Farm_EN_batch_01_item_03	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what did The hens perch themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs	First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.	sent2
Animal_Farm_EN_batch_01_item_04	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what _ The two cart-horses, Boxer and Clover, came in together, walking very slowly and setting down their vast hairy hoofs with great care lest there should be some small animal concealed in the straw.	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Clover?	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ The two cart-horses, Boxer and Clover, came in together, walking very slowly and setting down their vast hairy hoofs with great care lest there should be some small animal concealed in the straw.	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ The two cart-horses, Boxer and Clover	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Clover	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ the two cart-horses, Boxer and Clover	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that The two cart-horses, Boxer and Clover, came in together, walking very slowly	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ The two cart-horses, Boxer and Clover, came in together,	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ The two cart-horses, Boxer and Clover, came in together, walking very slowly and setting down their vast hairy hoofs with great care lest there should be some small animal concealed in the straw.	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_04	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Boxer and Clover coming in together	Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Boxer?	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Boxer being an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Boxer	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Boxer	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_05	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what _ was Boxer an enormous beast	A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ After the horses came Muriel, the white goat, and Benjamin, the donkey.	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Benjamin, the donkey?	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that After the horses came Muriel, the white goat, and Benjamin, the donkey.	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Benjamin, the donkey.	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Benjamin, the donkey.	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Benjamin, the donkey	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that After the horses came Muriel, the white goat, and Benjamin, the donkey	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Benjamin, the donkey.	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ After the horses came Muriel, the white goat, and Benjamin, the donkey.	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_06	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Benjamin, the donkey	Benjamin was the oldest animal on the farm, and the worst tempered.	sent1
Animal_Farm_EN_batch_01_item_07	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ At the last moment Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, came mincing daintily in, chewing at a lump of sugar.	She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.	sent1
Animal_Farm_EN_batch_01_item_07	After what	Temporal.Asynchronous	SUCCESSION	After what did Mollie came mincing daintily in?	She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.	sent1
Animal_Farm_EN_batch_01_item_07	After what	Temporal.Asynchronous	PRECEDENCE	After what did She take a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.	At the last moment Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, came mincing daintily in, chewing at a lump of sugar.	sent2
Animal_Farm_EN_batch_01_item_07	Before what	Temporal.Asynchronous	PRECEDENCE	Before what did Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, come mincing daintily in	She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.	sent1
Animal_Farm_EN_batch_01_item_07	In what manner	Expansion.Manner	ARG2-AS-MANNER	In what manner was Mollie foolish	She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.	sent1
Animal_Farm_EN_batch_01_item_07	After what	Temporal.Asynchronous	PRECEDENCE	After what did She take a place near the front and begin flirting her white mane, hoping to draw attention to the red ribbons it was plaited with	At the last moment Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, came mincing daintily in, chewing at a lump of sugar.	sent2
Animal_Farm_EN_batch_01_item_07	After what	Temporal.Asynchronous	PRECEDENCE	After what did She take a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with	At the last moment Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, came mincing daintily in, chewing at a lump of sugar.	sent2
Animal_Farm_EN_batch_01_item_07	After what	Temporal.Asynchronous	SUCCESSION	After what did Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, came mincing daintily in	She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.	sent1
Animal_Farm_EN_batch_01_item_07	For what purpose	Contingency.Purpose	ARG2-AS-GOAL	For what purpose _ At the last moment Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, came mincing daintily in, chewing at a lump of sugar.	She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.	sent1
Animal_Farm_EN_batch_01_item_07	While what	Temporal.Synchronous	Temporal.Synchronous	While what did She take a place near the front and begin flirting her white mane	At the last moment Mollie, the foolish, pretty white mare who drew Mr. Jones's trap, came mincing daintily in, chewing at a lump of sugar.	sent2
Animal_Farm_EN_batch_01_item_08	What is the result of	Contingency.Cause	REASON	What is the result of _ the answer to all our problems.	Because nearly the whole of the produce of our labour is stolen from us by human beings.	sent2
Animal_Farm_EN_batch_01_item_08	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ the answer to all our problems?	Because nearly the whole of the produce of our labour is stolen from us by human beings.	sent2
Animal_Farm_EN_batch_01_item_08	What is the reason	Contingency.Cause	RESULT	What is the reason _ it is the answer to all our problems.	Because nearly the whole of the produce of our labour is stolen from us by human beings.	sent2
Hitchhikers_Guide_to_the_Galaxy_EN_batch_03_item_09	What is a case of	Expansion.Instantiation	ARG1-AS-INSTANCE	What is a case of _ Zaphod loved effect: it was what he was best at	They slashed sheets of water hissing into the air, carved deep gashes into the sea which swayed crazily and sank back foaming into the boat's wake as it careered across the bay.	sent2
Animal_Farm_EN_batch_01_item_08	Despite what	Comparison.Concession	ARG1-AS-DENIER	Despite what is nearly the whole of the produce of our labour is stolen from us by human beings	There, comrades, is the answer to all our problems.	sent1
Animal_Farm_EN_batch_01_item_08	What is the reason	Contingency.Cause	RESULT	What is the reason _ for all our problems	Because nearly the whole of the produce of our labour is stolen from us by human beings.	sent2
Animal_Farm_EN_batch_03_item_05	What provides more detail on	Expansion.Level-of-detail	ARG1-AS-DETAIL	What provides more detail on _ A little way down the pasture there was a knoll that commanded a view of most of the farm	But they woke at dawn as usual, and suddenly remembering the glorious thing that had happened, they all raced out into the pasture together.	sent2
Animal_Farm_EN_batch_01_item_08	What is the reason	Contingency.Cause	RESULT	What is the reason _ that this is the answer to all our problems.	Because nearly the whole of the produce of our labour is stolen from us by human beings.	sent2
Animal_Farm_EN_batch_01_item_08	What is the reason	Contingency.Cause	REASON	What is the reason _ Because nearly the whole of the produce of our labour is stolen from us by human beings.	There, comrades, is the answer to all our problems.	sent1
Hitchhikers_Guide_to_the_Galaxy_EN_batch_02_item_09	What is a case of	Expansion.Instantiation	ARG1-AS-INSTANCE	What is a case of the fact that Everything was ready, everything was prepared	He threw away a copy of JOSEPH AND THE AMAZING TECHNICOLOR DREAMCOAT, he threw away a copy of GODSPELL: He wouldn't need them where he was going.	sent2
Animal_Farm_EN_batch_01_item_09	What describes the same as	Expansion.Equivalence	Expansion.Equivalence	What describes the same as _ the answer to all our problems.	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_09	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ the answer to all our problems?	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_09	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ the answer to all our problems.	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_09	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ "There, comrades, is the answer to all our problems."	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_09	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ the answer to all our problems.	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_09	What is the reason	Contingency.Cause	REASON	What is the reason _ for all our problems	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_09	What describes the same as	Expansion.Equivalence	Expansion.Equivalence	What describes the same as _ the answer to all our problem	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_09	What is the reason	Contingency.Cause	REASON	What is the reason _ for all our problems	It is summed up in a single word - Man.	sent1
Hitchhikers_Guide_to_the_Galaxy_EN_batch_02_item_04	What is a case of	Expansion.Instantiation	ARG1-AS-INSTANCE	What is a case of the fact that in moments of great stress, every life form that exists gives out a tiny sublimal signal	He suddenly shivered: he experienced a momentary sensation that he didn't understand because no one on Earth had ever experienced it before.	sent2
Animal_Farm_EN_batch_01_item_09	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ There, comrades, is the answer to all our problems	It is summed up in a single word - Man.	sent1
Animal_Farm_EN_batch_01_item_10	What is the result of	Contingency.Cause	RESULT	What is the result of _ It is summed up in a single word - Man.	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ Man?	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that It is summed up in a single word - Man.	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ "It is summed up in a single word - Man."	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ It is summed up in a single word - Man.	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What is the reason	Contingency.Cause	REASON	What is the reason _ it is summed up in a single word - Man	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What is the reason	Contingency.Cause	REASON	What is the reason the fact that It is summed up in a single word - Man	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What is the reason	Contingency.Cause	REASON	What is the reason _ that It is summed up in a single word - Man.	Man is the only real enemy we have.	sent1
Animal_Farm_EN_batch_01_item_10	What is the result of	Contingency.Cause	RESULT	What is the result of _ It is summed up in a single word - Man.	Man is the only real enemy we have.	sent1
Harry_Potter_and_the_Philospher_Stone_EN_batch_03_item_05	What provides more detail on	Expansion.Level-of-detail	ARG1-AS-DETAIL	What provides more detail on _ Albus Dumbledore	His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.	sent2
Animal_Farm_EN_batch_01_item_11	What is the result of	Contingency.Cause	RESULT	What is the result of _ Only get rid of Man, and the produce of our labour would be our own.	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	What is the result of	Contingency.Cause	RESULT	What is the result of _ getting rid of Man?	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	For what purpose	Contingency.Purpose	ARG2-AS-GOAL	For what purpose would we only get rid of Man, and the produce of our labour would be our own.	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	What is the result of	Contingency.Cause	RESULT	What is the result of the fact that overnight we could become rich and free. the produce of our labour would be our own.	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	What is the result of	Contingency.Cause	RESULT	What is the result of _ getting rid of Man	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	What is the result of	Contingency.Cause	RESULT	What is the result of _ getting rid of Man, and the produce of our labour would be our own	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what would we only get rid of Man, and the produce of our labour would be our own	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	What is the result of	Contingency.Cause	RESULT	What is the result of _ getting rid of Man, and the produce of our labour would be our own.	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	What is the result of	Contingency.Cause	RESULT	What is the result of _ Only get rid of Man, and the produce of our labour would be our own.	Almost overnight we could become rich and free.	sent1
Animal_Farm_EN_batch_01_item_11	After what	Temporal.Asynchronous	PRECEDENCE	After what _ could we become rich and free	Only get rid of Man, and the produce of our labour would be our own.	sent2
Animal_Farm_EN_batch_01_item_12	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what _ Why, work night and day, body and soul, for the overthrow of the human race!	That is my message to you, comrades: Rebellion!	sent1
